Index,State,State_name,2013_price,2018_price,5_year_change(%)
0,AK,Alaska,278900,312100,11.90390821
1,AL,Alabama,121800,140500,15.35303777
2,AR,Arkansas,111000,132500,19.36936937
3,AZ,Arizona,168150,238450,41.8079096
4,CA,California,362800,564700,55.65049614
5,CO,Colorado,225700,365800,62.07354896
6,CT,Connecticut,228300,248100,8.672798949
7,DC,District of Columbia,497250,785750,58.01910508
8,DE,Delaware,196850,234300,19.02463805
9,FL,Florida,137700,226100,64.19753086
10,GA,Georgia,116600,159500,36.79245283
11,HI,Hawaii,498700,682450,36.84579908
12,IA,Iowa,136900,163000,19.06501096
13,ID,Idaho,141900,206850,45.77167019
14,IL,Illinois,135700,163500,20.48636699
15,IN,Indiana,100650,125150,24.34177844
16,KS,Kansas,94700,114300,20.6969377
17,KY,Kentucky,111800,144000,28.80143113
18,LA,Louisiana,126000,142000,12.6984127
19,MA,Massachusetts,282000,378200,34.11347518
20,MD,Maryland,253750,310100,22.20689655
21,ME,Maine,180000,222950,23.86111111
22,MI,Michigan,105250,150900,43.37292162
23,MN,Minnesota,153750,210100,36.6504065
24,MO,Missouri,121450,147800,21.69617126
25,MS,Mississippi,91100,104000,14.16026345
26,MT,Montana,185600,226500,22.03663793
27,NC,North Carolina,130100,162900,25.21137586
28,ND,North Dakota,133900,191600,43.0918596
29,NE,Nebraska,125000,160900,28.72
30,NH,New Hampshire,196000,248900,26.98979592
31,NJ,New Jersey,274900,336550,22.42633685
32,NM,New Mexico,160300,189150,17.99750468
33,NV,Nevada,174600,287600,64.71935853
34,NY,New York,175900,205800,16.99829449
35,OH,Ohio,105800,130950,23.77126654
36,OK,Oklahoma,80700,100900,25.03097893
37,OR,Oregon,193600,298350,54.10640496
38,PA,Pennsylvania,138800,158200,13.97694524
39,RI,Rhode Island,220400,276100,25.2722323
40,SC,South Carolina,118800,147850,24.45286195
41,SD,South Dakota,148900,196100,31.69912693
42,TN,Tennessee,90350,127250,40.84117322
43,TX,Texas,116950,163800,40.05985464
44,UT,Utah,198000,291500,47.22222222
45,VA,Virginia,191400,226200,18.18181818
46,VT,Vermont,184300,203400,10.36353771
47,WA,Washington,213600,333800,56.27340824
48,WI,Wisconsin,147650,182150,23.36606841
49,WV,West Virginia,100300,116250,15.90229312
50,WY,Wyoming,181800,221700,21.94719472
