,State,2013_price,2018_price,5_year_change(%)
0,AK,278900.0,312100.0,11.903908210828254
1,AL,121800.0,140500.0,15.353037766830871
2,AR,111000.0,132500.0,19.36936936936937
3,AZ,168150.0,238450.0,41.80790960451977
4,CA,362800.0,564700.0,55.650496141124584
5,CO,225700.0,365800.0,62.07354895879485
6,CT,228300.0,248100.0,8.672798948751643
7,DC,497250.0,785750.0,58.019105077928614
8,DE,196850.0,234300.0,19.0246380492761
9,FL,137700.0,226100.0,64.19753086419753
10,GA,116600.0,159500.0,36.79245283018868
11,HI,498700.0,682450.0,36.84579907760177
12,IA,136900.0,163000.0,19.065010956902846
13,ID,141900.0,206850.0,45.77167019027485
14,IL,135700.0,163500.0,20.486366985998526
15,IN,100650.0,125150.0,24.341778440139095
16,KS,94700.0,114300.0,20.696937697993665
17,KY,111800.0,144000.0,28.80143112701252
18,LA,126000.0,142000.0,12.698412698412698
19,MA,282000.0,378200.0,34.11347517730496
20,MD,253750.0,310100.0,22.206896551724135
21,ME,180000.0,222950.0,23.86111111111111
22,MI,105250.0,150900.0,43.372921615201896
23,MN,153750.0,210100.0,36.65040650406504
24,MO,121450.0,147800.0,21.696171263894605
25,MS,91100.0,104000.0,14.1602634467618
26,MT,185600.0,226500.0,22.036637931034484
27,NC,130100.0,162900.0,25.21137586471945
28,ND,133900.0,191600.0,43.09185959671397
29,NE,125000.0,160900.0,28.720000000000002
30,NH,196000.0,248900.0,26.98979591836735
31,NJ,274900.0,336550.0,22.42633684976355
32,NM,160300.0,189150.0,17.997504678727385
33,NV,174600.0,287600.0,64.71935853379152
34,NY,175900.0,205800.0,16.998294485503127
35,OH,105800.0,130950.0,23.77126654064272
36,OK,80700.0,100900.0,25.03097893432466
37,OR,193600.0,298350.0,54.106404958677686
38,PA,138800.0,158200.0,13.976945244956774
39,RI,220400.0,276100.0,25.272232304900182
40,SC,118800.0,147850.0,24.452861952861955
41,SD,148900.0,196100.0,31.69912693082606
42,TN,90350.0,127250.0,40.84117321527393
43,TX,116950.0,163800.0,40.05985463873451
44,UT,198000.0,291500.0,47.22222222222222
45,VA,191400.0,226200.0,18.181818181818183
46,VT,184300.0,203400.0,10.363537710255018
47,WA,213600.0,333800.0,56.27340823970037
48,WI,147650.0,182150.0,23.366068405011852
49,WV,100300.0,116250.0,15.902293120638086
50,WY,181800.0,221700.0,21.947194719471945
